icode,gbifdatasetid,harvestfoldernew
AM,dce8feb0-6c89-11de-8225-b8a03c50a862,vertnet-harvesting/data/2016-07-15/AM-am_all
AMNH,96c93a1e-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/AMNH-amnh_birds
AMNH,71d0dff0-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/AMNH-amnh_herps
AMNH,96ca66b4-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/AMNH-amnh_mammals
ANSP,86594bf6-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/ANSP-ansp_hrp
ANSP,temp-ansp-ich-datasetid,vertnet-harvesting/data/2016-07-15/ANSP-ansp_ich
ANSP,temp-ansp-mam-datasetid,vertnet-harvesting/data/2016-07-15/ANSP-ansp_mam
ANSP,8658262c-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/ANSP-ansp_orn
ANWC,0debafd0-6c8a-11de-8225-b8a03c50a862,vertnet-harvesting/data/2016-07-15/ANWC-anwc_all
ASNHC,60805ee8-a17e-48ce-8726-be447e4d8e1d,vertnet-harvesting/data/2016-07-15/ASNHC-angelo_birds
ASNHC,f9772d3a-db34-4a33-baa0-7a016a970358,vertnet-harvesting/data/2016-07-15/ASNHC-angelo_mammals
ASNHC,72848c29-b2fd-4a99-9e99-82fe93eecc5b,vertnet-harvesting/data/2016-07-15/ASNHC-angelo_reptiles
AUM,d499aef2-b1d9-4890-aeb3-5f0d1237b513,vertnet-harvesting/data/2016-07-15/AUM-aum_fish
BLB,f11db245-3f9f-4fc6-a0cc-12b4124d081b,vertnet-harvesting/data/2016-07-15/BLB-blb_all
BPBM,b929f23d-290f-4e85-8f17-764c55b3b284,vertnet-harvesting/data/2016-07-20/BPBM-bpbm_verts
BYU,847aa410-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-20/BYU-byu_herps
CAS,cece4fc2-1fec-4bb5-a335-7252548e3f0b,vertnet-harvesting/data/2016-07-15/CAS-herp
CAS,5d6c10bd-ea31-4363-8b79-58c96d859f5b,vertnet-harvesting/data/2016-07-15/CAS-ich
CAS,6ce7290f-47f6-4046-8356-371f5b6749df,vertnet-harvesting/data/2016-07-15/CAS-mam
