label,pattern,replace
egg_term,egg,egg
egg_term,eggs,egg
part_loc,abdominal,
part_loc,aboral,
part_loc,accessory,
part_loc,anal,
part_loc,antehumeral,
part_loc,antennal,antenna
part_loc,anterior,
part_loc,antero-lateral,anterolateral
part_loc,anterolateral,
part_loc,anteversion,
part_loc,apex,
part_loc,apical,
part_loc,axial,
part_loc,back,
part_loc,basal,
part_loc,base,
part_loc,bilateral,
part_loc,caudal,
part_loc,central,
part_loc,cephalo,
part_loc,contra-lateral,contralateral
part_loc,contralateral,
part_loc,coronal,
part_loc,costa,
part_loc,costal,
part_loc,cubital,
part_loc,cubitus,
part_loc,distal,
part_loc,dorsal,
part_loc,dorso-lateral,dorsolateral
part_loc,dorsolateral,
part_loc,femural,
part_loc,front,
part_loc,frontal,
part_loc,genital,
part_loc,genito-ventral,genitoventral
part_loc,genitoventral,
part_loc,gular,
part_loc,horizontal,
part_loc,humeral,
part_loc,intercostal,
part_loc,ipsilateral,
part_loc,labial,
part_loc,lateral,
part_loc,latero-ventral,lateroventral
part_loc,lateroventral,
part_loc,lower,
part_loc,luminal,
part_loc,marginal,
part_loc,media,
part_loc,media,
part_loc,medial,
part_loc,mediolateral,
part_loc,mesostigmal,
part_loc,mesothoracic,
part_loc,metapodal,
part_loc,middorsal,
part_loc,oral,
part_loc,parasagittal,
part_loc,paratergal,
part_loc,parietal,
part_loc,postantennal,
part_loc,posterior,
part_loc,postero-medial,posteromedial
part_loc,posteromedial,
part_loc,postocular ,
part_loc,postspiracular,
part_loc,preantennal,
part_loc,preocular,
part_loc,principal,
part_loc,prolateral,
part_loc,proximal,
part_loc,rear,
part_loc,retrolateral,
part_loc,retroversion,
part_loc,sagittal,
part_loc,sectoral,
part_loc,side,side
part_loc,sides,side
part_loc,spiracular,
part_loc,sternal,
part_loc,subapical,
part_loc,subcosta,
part_loc,subgenital,
part_loc,superficial,
part_loc,supra-antennal,supraantennal
part_loc,supraantennal,
part_loc,sutural,
part_loc,tailed,
part_loc,tergal,
part_loc,terminal,
part_loc,thoracic,
part_loc,transverse,
part_loc,underside,
part_loc,unilateral,
part_loc,upper,
part_loc,valgus,
part_loc,varus,
part_loc,ventral,
part_loc,ventro-lateral,ventrolateral
part_loc,ventrolateral,
part_loc,visceral,
part_loc,vulval,
part_loc,vulvar,
part_term,abdomen,
part_term,anal veins,
part_term,antenna,
part_term,antennae,antenna
part_term,anus,
part_term,apodema,apodeme
part_term,apodeme,
part_term,apparat,
part_term,aster,
part_term,body,
part_term,carina,
part_term,cerci,cercus
part_term,cercus,cercus
part_term,costa,
part_term,cross-vein,crossvein
part_term,cross-veins,crossvein
part_term,crossvein,crossvein
part_term,crossveins,crossvein
part_term,cubitus,
part_term,epiproct,
part_term,eye,eye
part_term,eyes,eye
part_term,face,
part_term,femora,femur
part_term,femur,femur
part_term,femurs,femur
part_term,fimbriae,
part_term,foreleg,foreleg
part_term,forelegs,foreleg
part_term,forewing,forewing
part_term,forewings,forewing
part_term,frons,
part_term,genitalia,genital
part_term,genitals,genital
part_term,gonopod,
part_term,gonopods,gonopod
part_term,gula,
part_term,head,
part_term,hindleg,
part_term,hindlegs,hindleg
part_term,hindwing,hindwing
part_term,hindwings,hindwing
part_term,hypopharynx,
part_term,leg,leg
part_term,legs,leg
part_term,mandible,mandible
part_term,mandibles,mandible
part_term,media,
part_term,mesonotum,
part_term,mesothorax,
part_term,metanotum,
part_term,metapleurite,
part_term,metasternum,
part_term,metathorax,
part_term,node,nodus
part_term,nodus,nodus
part_term,occipital bar,
part_term,ocelli,ocellus
part_term,ocellus,ocellus
part_term,ommatidia,ommatidium
part_term,ommatidium,ommatidium
part_term,paramere,paramere
part_term,parameres,paramere
part_term,phanerum,
part_term,pleurite,pleurite
part_term,pleurites,pleurite
part_term,pronotum,
part_term,prothorax,
part_term,protonotum,
part_term,pterostigma,stigma
part_term,pterostigmas,stigma
part_term,pterostigmata,stigma
part_term,spiracle,spiracle
part_term,spiracles,spiracle
part_term,sternite,sternite
part_term,sternites,sternite
part_term,sternum,
part_term,stigma,stigma
part_term,stigmas,stigma
part_term,stigmata,stigma
part_term,subcosta,
part_term,synthorax,
part_term,terga,tergite
part_term,tergite,tergite
part_term,tergites,tergite
part_term,terminalia,
part_term,thorax,
part_term,tibia,
part_term,vein,vein
part_term,veins,vein
part_term,vulva,
part_term,wing,wing
part_term,wings,wing
part_term,wingtip,wingtip
part_term,wingtips,wingtip
subpart_term,brush,
subpart_term,end,
subpart_term,ends,
subpart_term,fringe,
subpart_term,front,
subpart_term,horn,horn
subpart_term,horns,horn
subpart_term,margin,margin
subpart_term,margins,margin
subpart_term,plate,plate
subpart_term,plates,plate
subpart_term,sclerite,sclerite
subpart_term,sclerites,sclerite
subpart_term,segment,segment
subpart_term,segments,segment
subpart_term,side,
subpart_term,sides,
subpart_term,suture,
subpart_term,sutures,suture
subpart_term,tip,
subpart_term,tips,
