label,pattern,replace
job_label,col,collector
job_label,col.,collector
job_label,coll,collector
job_label,coll.,collector
job_label,collected by,collector
job_label,collected by:,collector
job_label,collected,collector
job_label,collector(s),collector
job_label,collector(s):,collector
job_label,collector,collector
job_label,collector:,collector
job_label,collectors,collector
job_label,collectors:,collector
job_label,confirmed,determiner
job_label,confirmed by,determiner
job_label,det,determiner
job_label,det.,determiner
job_label,det by,determiner
job_label,det. by,determiner
job_label,determined by,determiner
job_label,determined,determiner
job_label,determiner(s),determiner
job_label,determiner(s):,determiner
job_label,determiner,determiner
job_label,artist,artist
job_label,ass,assistant
job_label,assist,assistant
job_label,assistant,assistant
job_label,auth,author
job_label,author,author
job_label,authors,author
job_label,cartographer,cartographer
job_label,confirmed,expert
job_label,confirmed by,expert
job_label,conservator,conservator
job_label,contributor,contributor
job_label,curatated by,curator
job_label,curator,curator
job_label,curatorial,curator
job_label,dir,director
job_label,directed by,director
job_label,director,director
job_label,ecologist,ecologist
job_label,edited by,editor
job_label,editor,editor
job_label,entomologist,entomologist
job_label,explorer,explorer
job_label,extractor,extractor
job_label,gardener,gardener
job_label,geographer,geographer
job_label,geologist,geologist
job_label,georeferencer,georeferencer
job_label,grower,grower
job_label,grown by,grower
job_label,horticulturalist,horticulturalist
job_label,identifier,identifier
job_label,identified by,identifier
job_label,illustrated by,illustrator
job_label,illustrator,illustrator
job_label,managed by,manager
job_label,manager,manager
job_label,naturalist,naturalist
job_label,preparator,preparator
job_label,researcher,researcher
job_label,verified by,verifier
job_label,verified,verifier
job_label,verified:,verifier
job_label,volunteer,volunteer
job_label,volunteers,volunteer
job_label,writer,writer
other_label,w/,other_collector
other_label,with,other_collector
other_label,with:,other_collector
