label,pattern,attr,replace
month,apr.,text,April
month,apr,text,April
month,Apr.,text,April
month,Apr,text,April
month,APR.,text,April
month,APR,text,April
month,april,lower,April
month,aug.,text,August
month,aug,text,August
month,Aug.,text,August
month,Aug,text,August
month,AUG.,text,August
month,AUG,text,August
month,august,lower,August
month,dec.,text,December
month,dec,text,December
month,Dec.,text,December
month,Dec,text,December
month,DEC.,text,December
month,DEC,text,December
month,december,lower,December
month,feb.,text,February
month,feb,text,February
month,Feb.,text,February
month,Feb,text,February
month,FEB.,text,February
month,FEB,text,February
month,february,lower,February
month,jan.,text,January
month,jan,text,January
month,Jan.,text,January
month,Jan,text,January
month,JAN.,text,January
month,JAN,text,January
month,january,lower,January
month,jul.,text,July
month,jul,text,July
month,Jul.,text,July
month,Jul,text,July
month,JUL.,text,July
month,JUL,text,July
month,july,lower,July
month,Juan,text,June
month,Juan.,text,June
month,jun.,text,June
month,jun,text,June
month,Jun.,text,June
month,Jun,text,June
month,JUN.,text,June
month,JUN,text,June
month,june,lower,June
month,mar.,text,March
month,mar,text,March
month,Mar.,text,March
month,Mar,text,March
month,MAR.,text,March
month,MAR,text,March
month,march,lower,March
month,may,lower,May
month,nov.,text,November
month,nov,text,November
month,Nov.,text,November
month,Nov,text,November
month,NOV.,text,November
month,NOV,text,November
month,november,lower,November
month,oct.,text,October
month,oct,text,October
month,Oct.,text,October
month,Oct,text,October
month,OCT.,text,October
month,OCT,text,October
month,0ct,text,October
month,0ct.,text,October
month,0CT,text,October
month,0CT.,text,October
month,october,lower,October
month,0ctober,lower,October
month,sep.,text,September
month,sep,text,September
month,Sep.,text,September
month,Sep,text,September
month,SEP.,text,September
month,SEP,text,September
month,sept.,text,September
month,sept,text,September
month,Sept.,text,September
month,Sept,text,September
month,SEPT.,text,September
month,SEPT,text,September
month,SOFT,text,September
month,SOFT.,text,September
month,september,lower,September
