label,pattern,attr,replace
name_prefix,DR,text,Dr.
name_prefix,DR.,text,Dr.
name_prefix,Dr,text,Dr.
name_prefix,Dr.,text,Dr.
name_prefix,MR,text,Mr.
name_prefix,MR.,text,Mr.
name_prefix,MRS,text,Mrs.
name_prefix,MRS.,text,Mrs.
name_prefix,Mr,text,Mr.
name_prefix,Mr.,text,Mr.
name_prefix,Mrs,text,Mrs.
name_prefix,Mrs.,text,Mrs.
name_prefix,doctor,lower,Dr.
name_prefix,dr,text,Dr.
name_prefix,dr.,text,Dr.
name_prefix,miss,lower,Miss
name_prefix,mr,text,Mr.
name_prefix,mr.,text,Mr.
name_prefix,mrs,text,Mrs.
name_prefix,mrs.,text,Mrs.
name_suffix,JR,text,Jr.
name_suffix,JR.,text,Jr.
name_suffix,Jr,text,Jr.
name_suffix,Jr.,text,Jr.
name_suffix,PH.D,text,Ph.D.
name_suffix,PH.D.,text,Ph.D.
name_suffix,PHD,text,Ph.D.
name_suffix,PHD.,text,Ph.D.
name_suffix,Ph.D,text,Ph.D.
name_suffix,Ph.D.,text,Ph.D.
name_suffix,Phd,text,Ph.D.
name_suffix,Phd.,text,Ph.D.
name_suffix,SR,text,Sr.
name_suffix,SR.,text,Sr.
name_suffix,Sr,text,Sr.
name_suffix,Sr.,text,Sr.
name_suffix,filho,lower,
name_suffix,ii,lower,II
name_suffix,iii,lower,III
name_suffix,jr,text,Jr.
name_suffix,jr.,text,Jr.
name_suffix,ph.d,text,Ph.D.
name_suffix,ph.d.,text,Ph.D.
name_suffix,phd,text,Ph.D.
name_suffix,phd.,text,Ph.D.
name_suffix,sr,text,Sr.
name_suffix,sr.,text,Sr.
not_name,P. O.,lower,
not_name,a.s.t.c.,lower,
not_name,about,lower,
not_name,abundance,lower,
not_name,abundancelow,lower,
not_name,abundant,lower,
not_name,academy,lower,
not_name,acre,lower,
not_name,acres,lower,
not_name,agricultural,lower,
not_name,agriculture,lower,
not_name,airline,lower,
not_name,alachua,lower,
not_name,alpine,lower,
not_name,alpines,lower,
not_name,altas,lower,
not_name,altitude,lower,
not_name,ambrosia,lower,
not_name,america,lower,
not_name,america.,lower,
not_name,american,lower,
not_name,arboretum,lower,
not_name,area,lower,
not_name,assoc,lower,
not_name,assoc.,lower,
not_name,associated,lower,
not_name,atlas,lower,
not_name,atmospheric,lower,
not_name,avenue,lower,
not_name,basin,lower,
not_name,basins,lower,
not_name,biodiversity,lower,
not_name,biological,lower,
not_name,bitter,lower,
not_name,blvd,lower,
not_name,blvd.,lower,
not_name,botanical,lower,
not_name,bottom,lower,
not_name,boulevard,lower,
not_name,campus,lower,
not_name,canada,lower,
not_name,center,lower,
not_name,central,lower,
not_name,chinati,lower,
not_name,city,lower,
not_name,co,lower,
not_name,co.,lower,
not_name,collected,lower,
not_name,college,lower,
not_name,common,lower,
not_name,community,lower,
not_name,comuna,lower,
not_name,comunal,lower,
not_name,conservancy,lower,
not_name,conservation,lower,
not_name,conservatory,lower,
