label,pattern,replace
province_label,province,
province_label,province of,
country,afghanistan,
country,albania,
country,algeria,
country,andorra,
country,angola,
country,antigua & barbuda,
country,antigua and barbuda,
country,argentina,
country,armenia,
country,australia,
country,austria,
country,azerbaijan,
country,bahrain,
country,bangladesh,
country,barbados,
country,belarus,
country,belgium,
country,belize,
country,benin,
country,bhutan,
country,bolivia,
country,bosnia & herzegovina,
country,bosnia and herzegovina,
country,botswana,
country,brazil,
country,brunei,
country,bulgaria,
country,burkina faso,
country,burma,
country,burundi,
country,cabo verde,
country,cambodia,
country,cameroon,
country,canada,
country,central african republic,
country,chad,
country,chile,
country,china,
country,colombia,
country,comoros,
country,congo,
country,"congo, democratic republic of the",
country,"congo, republic of the",
country,costa rica,
country,croatia,
country,cuba,
country,cyprus,
country,czech republic,
country,côte d’ivoire,
country,democratic republic of the congo,
country,denmark,
country,djibouti,
country,dominica,
country,dominican republic,
country,east timor,
country,ecuador,
country,egypt,
country,el salvador,
country,equatorial guinea,
country,eritrea,
country,estonia,
country,eswatini,
country,ethiopia,
country,federated states of micronesia,
country,fiji,
country,finland,
country,france,
country,gabon,
country,georgia,
country,germany,
country,ghana,
country,greece,
country,grenada,
country,guatemala,
country,guinea,
country,guinea-bissau,
country,guyana,
country,haiti,
country,honduras,
country,hungary,
country,iceland,
country,india,
country,indonesia,
country,iran,
country,iraq,
country,ireland,
country,israel,
country,italy,
country,ivory coast,
country,jamaica,
country,japan,
country,jordan,
country,kazakhstan,
country,kenya,
country,kiribati,
country,"korea, north",
country,"korea, south",
country,kosovo,
country,kuwait,
country,kyrgyzstan,
country,laos,
country,latvia,
country,lebanon,
country,lesotho,
country,liberia,
country,libya,
country,liechtenstein,
country,lithuania,
country,luxembourg,
country,madagascar,
country,malawi,
country,malaysia,
country,maldives,
country,mali,
country,malta,
country,marshall islands,
country,mauritania,
country,mauritius,
country,mexico,
country,micronesia,
country,"micronesia, federated states of",
country,moldova,
country,monaco,
country,mongolia,
country,montenegro,
country,morocco,
country,mozambique,
country,myanmar,
country,namibia,
country,nauru,
country,nepal,
country,netherlands,
country,new zealand,
country,nicaragua,
country,niger,
country,nigeria,
country,north korea,
country,north macedonia,
country,norway,
country,oman,
country,pakistan,
country,palau,
country,panama,
country,papua new guinea,
country,paraguay,
country,peru,
country,philippines,
country,poland,
country,portugal,
country,qatar,
country,republic of congo,
country,republic of the congo,
country,romania,
country,russia,
country,rwanda,
country,saint kitts & nevis,
country,saint kitts and nevis,
country,saint lucia,
country,saint vincent & grenadines,
country,saint vincent & the grenadines,
country,saint vincent and the grenadines,
country,samoa,
country,san marino,
country,sao tome & principe,
country,sao tome and principe,
country,saudi arabia,
country,senegal,
country,serbia,
country,seychelles,
country,sierra leone,
country,singapore,
country,slovakia,
country,slovenia,
country,solomon islands,
country,somalia,
country,south africa,
country,south korea,
country,south sudan,
country,spain,
country,sri lanka,
country,sudan,
country,"sudan, south",
country,suriname,
country,sweden,
country,switzerland,
country,syria,
country,taiwan,
country,tajikistan,
country,tanzania,
country,thailand,
country,the bahamas,
country,the gambia,
country,timor-leste,
country,togo,
country,tonga,
country,trinidad & tobago,
country,trinidad and tobago,
country,tunisia,
country,turkey,
country,turkmenistan,
country,tuvalu,
country,u. a. e.,
country,uganda,
country,ukraine,
country,united arab emirates,
country,united kingdom,
country,united states,
country,uruguay,
country,uzbekistan,
country,vanuatu,
country,vatican city,
country,venezuela,
country,vietnam,
country,yemen,
country,zambia,
country,zimbabwe,
