label,pattern,attr,replace,inside,postal
country,u.s. of a,lower,USA,,
country,u.s. of a.,lower,USA,,
country,u.s.a,lower,USA,,
country,u.s.a.,lower,USA,,
country,united states of america,lower,USA,,
country,united states,lower,USA,,
country,us of a,lower,USA,,
country,us of a.,lower,USA,,
country,us. a,lower,USA,,
country,us.a,lower,USA,,
country,us.a.,lower,USA,,
country,usa,lower,USA,,
county_label,co,text,county,,
county_label,co.,text,county,,
county_label,Co,text,county,,
county_label,Co.,text,county,,
county_label,CO.,text,county,,
county_label,county,lower,county,,
county_label,par,lower,county,,
county_label,par.,lower,county,,
county_label,parish,lower,county,,
county_label,ph,lower,county,,
county_label,ph.,lower,county,,
us_county,abbeville,lower,,SC,
us_county,acadia,lower,,LA,
us_county,accomack,lower,,VA,
us_county,ada,lower,,ID,
us_county,adair,lower,,IA KY MO OK,
us_county,adams,lower,,CO ID IL IN IA MS NE ND OH PA WA WI,
us_county,addison,lower,,VT,
us_county,aiken,lower,,SC,
us_county,aitkin,lower,,MN,
us_county,alachua,lower,,FL,
us_county,alamance,lower,,NC,
us_county,alameda,lower,,CA,
us_county,alamosa,lower,,CO,
us_county,albany,lower,,NY WY,
us_county,albemarle,lower,,VA,
us_county,alcona,lower,,MI,
us_county,alcorn,lower,,MS,
us_county,aleutians east,lower,,AK,
us_county,aleutians west,lower,,AK,
us_county,alexander,lower,,IL NC,
us_county,alexandria,lower,,VA,
us_county,alfalfa,lower,,OK,
us_county,alger,lower,,MI,
us_county,allamakee,lower,,IA,
us_county,allegan,lower,,MI,
us_county,allegany,lower,,MD NY,
us_county,alleghany,lower,,NC VA,
us_county,allegheny,lower,,PA,
us_county,allen,lower,,IN KS KY LA OH,
us_county,allendale,lower,,SC,
us_county,alpena,lower,,MI,
us_county,alpine,lower,,CA,
us_county,amador,lower,,CA,
us_county,amelia,lower,,VA,
us_county,amherst,lower,,VA,
us_county,amite,lower,,MS,
us_county,anchorage,lower,,AK,
us_county,anderson,lower,,KS KY SC TN TX,
us_county,andrew,lower,,MO,
us_county,andrews,lower,,TX,
us_county,androscoggin,lower,,ME,
us_county,angelina,lower,,TX,
us_county,anne arundel,lower,,MD,
us_county,anoka,lower,,MN,
