label,pattern,attr,replace
name_prefix,doctor,lower,Dr.
name_prefix,dr,text,Dr.
name_prefix,Dr,text,Dr.
name_prefix,DR,text,Dr.
name_prefix,dr.,text,Dr.
name_prefix,Dr.,text,Dr.
name_prefix,DR.,text,Dr.
name_prefix,miss,lower,Miss
name_prefix,mr,s,Mr.
name_prefix,Mr,text,Mr.
name_prefix,MR,text,Mr.
name_prefix,mr.,text,Mr.
name_prefix,Mr.,text,Mr.
name_prefix,MR.,text,Mr.
name_prefix,mrs,text,Mrs.
name_prefix,Mrs,text,Mrs.
name_prefix,MRS,text,Mrs.
name_prefix,mrs.,text,Mrs.
name_prefix,Mrs.,text,Mrs.
name_prefix,MRS.,text,Mrs.
name_suffix,filho,lower,
name_suffix,ii,lower,II
name_suffix,iii,lower,III
name_suffix,jr,text,Jr.
name_suffix,Jr,text,Jr.
name_suffix,JR,text,Jr.
name_suffix,jr.,text,Jr.
name_suffix,Jr.,text,Jr.
name_suffix,JR.,text,Jr.
name_suffix,ph.d,text,Ph.D.
name_suffix,Ph.D,text,Ph.D.
name_suffix,PH.D,text,Ph.D.
name_suffix,ph.d.,text,Ph.D.
name_suffix,Ph.D.,text,Ph.D.
name_suffix,PH.D.,text,Ph.D.
name_suffix,phd,text,Ph.D.
name_suffix,Phd,text,Ph.D.
name_suffix,PHD,text,Ph.D.
name_suffix,phd.,text,Ph.D.
name_suffix,Phd.,text,Ph.D.
name_suffix,PHD.,text,Ph.D.
name_suffix,sr,text,Sr.
name_suffix,Sr,text,Sr.
name_suffix,SR,text,Sr.
name_suffix,sr.,text,Sr.
name_suffix,Sr.,text,Sr.
name_suffix,SR.,text,Sr.
