label,pattern,replace,remove
color,amber,,
color,black,,
color,blackish,black,
color,blue,,
color,blueish,blue,
color,bluish,blue,
color,bronze,bronze,
color,bronzy,bronze,
color,brown,,
color,brownish,brown,
color,castaneous,,
color,chartreuse,,
color,cinnamon-brown,brown,
color,cinnamon-colored,brown,
color,cinnamon-coloured,brown,
color,cream,white,
color,cream-yellow,yellow,
color,creamy,white,
color,crimson,red,
color,dark-olivaceous,green,
color,ebony,black,
color,fawn,,
color,fuscous,,
color,fuscous-brown,,
color,glaucous,,
color,glaucous-pink,pink,
color,gold,,
color,golden,,
color,golden-yellow,yellow,
color,grass-green ,green,
color,gray,,
color,grayish,gray,
color,green,,
color,greenish,green,
color,grey,,
color,greyish,gray,
color,ivory,white,
color,lavendar,purple,
color,lavender,purple,
color,lemon,yellow,
color,lilac,purple,
color,lilac-pink,,
color,livid-brown,,
color,maroon,red-brown,
color,nigrescent,black,
color,ocher,brown,
color,ochre,brown,
color,olivaceous,green,
color,olivaceous-brown,,
color,olive,green,
color,olive-green,green,
color,orange,,
color,orangish,orange,
color,pink,,
color,pinkish,pink,
color,purple,,
color,purpleish,purple,
color,purplish,purple,
color,purplishbrown,brown,
color,red,,
color,reddish,red,
color,rose,pink,
color,rose-colored,pink,
color,rose-coloured,pink,
color,roseate,,
color,salmon,,
color,salmon-pink,orange-pink,
color,scarlet,red,
color,silver,,
color,silvery,silver,
color,sordid,,
color,sordid-grayish,,
color,stramineous,yellow,
color,straw-colored,yellow,
color,straw-coloured,yellow,
color,sulfur-yellow,yellow,
color,sulphur-yellow,yellow,
color,tan,,
color,turquoise,,
color,uncolored,,
color,violet,purple,
color,violetish,purple,
color,white,,
color,whitish,white,
color,yellow,,
color,yellowish,yellow,
color_mod,backed,,
color_mod,blotch,,
color_mod,blotched,,
color_mod,blotches,,
color_mod,bright,,1
color_mod,broadsaddle,,
color_mod,bull’s-eye,,
color_mod,bulls-eye,,
color_mod,dark,,1
color_mod,darker,,1
color_mod,dot,,
color_mod,dots,,
color_mod,dull,,1
color_mod,duller,,1
color_mod,dusky,,1
color_mod,faint,,1
color_mod,faintly,,1
color_mod,gloss,,
color_mod,glossed,,
color_mod,glossy,,
color_mod,light,,1
color_mod,lighter,,1
color_mod,line,,
color_mod,lined,,
color_mod,lines,,
color_mod,longitudinal,,
color_mod,marked,,
color_mod,marking,,1
color_mod,markings,,1
color_mod,matte,,
color_mod,metallic,,
color_mod,mottled,,
color_mod,mottling,,
color_mod,narrowsaddle,,
color_mod,overtone,,1
color_mod,overtones,,1
color_mod,pale,,1
color_mod,paler,pale,1
color_mod,pallid,pale,1
color_mod,patch,,1
color_mod,patched,,1
color_mod,pattern,,
color_mod,patterned,,
color_mod,patterns,,
color_mod,pruinescence,,
color_mod,pruinose,,
color_mod,pruinosity,,
color_mod,ring,,
color_mod,ringed,,
color_mod,rings,,
color_mod,saddlebags,,
color_mod,speckled,,
color_mod,speckles,,
color_mod,spot,,
color_mod,spots,,
color_mod,spotted,,
color_mod,square,,
color_mod,squares,,
color_mod,streaked,,
color_mod,streaks,,
color_mod,stripe,,
color_mod,striped,,
color_mod,stripes,,
color_mod,striping,,
color_mod,throated,,
color_mod,tinge,,
color_mod,tinged,,
color_mod,tinges,,
color_mod,tint,,1
color_mod,tinted,,1
color_mod,tipped,,
color_mod,unmarked,,
color_mod,wash,,1
color_mod,washed,,1
