term_set,label,pattern,attr,replace
insect_anatomy,egg,egg,lower,egg
insect_anatomy,egg,eggs,lower,egg
insect_anatomy,part,abdomen,lower,
insect_anatomy,part,antenna,lower,
insect_anatomy,part,antennae,lower,antenna
insect_anatomy,part,anus,lower,
insect_anatomy,part,apodema,lower,apodeme
insect_anatomy,part,apodeme,lower,
insect_anatomy,part,apparat,lower,
insect_anatomy,part,aster,lower,
insect_anatomy,part,body,lower,
insect_anatomy,part,carina,lower,
insect_anatomy,part,cerci,lower,cercus
insect_anatomy,part,cercus,lower,cercus
insect_anatomy,part,cross-vein,lower,crossvein
insect_anatomy,part,cross-veins,lower,crossvein
insect_anatomy,part,crossvein,lower,crossvein
insect_anatomy,part,crossveins,lower,crossvein
insect_anatomy,part,epiproct,lower,
insect_anatomy,part,eye,lower,eye
insect_anatomy,part,eyes,lower,eye
insect_anatomy,part,face,lower,
insect_anatomy,part,femora,lower,femur
insect_anatomy,part,femur,lower,femur
insect_anatomy,part,femurs,lower,femur
insect_anatomy,part,fimbriae,lower,
insect_anatomy,part,foreleg,lower,foreleg
insect_anatomy,part,forelegs,lower,foreleg
insect_anatomy,part,forewing,lower,forewing
insect_anatomy,part,forewings,lower,forewing
insect_anatomy,part,frons,lower,
insect_anatomy,part,genitalia,lower,genital
insect_anatomy,part,genitals,lower,genital
insect_anatomy,part,gonopod,lower,
insect_anatomy,part,gonopods,lower,gonopod
insect_anatomy,part,gula,lower,
insect_anatomy,part,head,lower,
insect_anatomy,part,hindleg,lower,
insect_anatomy,part,hindlegs,lower,hindleg
insect_anatomy,part,hindwing,lower,hindwing
insect_anatomy,part,hindwings,lower,hindwing
insect_anatomy,part,hypopharynx,lower,
insect_anatomy,part,leg,lower,leg
insect_anatomy,part,legs,lower,leg
insect_anatomy,part,mandible,lower,mandible
insect_anatomy,part,mandibles,lower,mandible
insect_anatomy,part,mesonotum,lower,
insect_anatomy,part,mesothorax,lower,
insect_anatomy,part,metanotum,lower,
insect_anatomy,part,metapleurite,lower,
insect_anatomy,part,metasternum,lower,
insect_anatomy,part,metathorax,lower,
insect_anatomy,part,ocelli,lower,ocellus
insect_anatomy,part,ocellus,lower,ocellus
insect_anatomy,part,ommatidia,lower,ommatidium
insect_anatomy,part,ommatidium,lower,ommatidium
insect_anatomy,part,paramere,lower,paramere
insect_anatomy,part,parameres,lower,paramere
insect_anatomy,part,phanerum,lower,
insect_anatomy,part,pleurite,lower,pleurite
insect_anatomy,part,pleurites,lower,pleurite
insect_anatomy,part,prothorax,lower,
insect_anatomy,part,pronotum,lower,
insect_anatomy,part,protonotum,lower,
insect_anatomy,part,pterostigma,lower,stigma
insect_anatomy,part,pterostigmas,lower,stigma
insect_anatomy,part,pterostigmata,lower,stigma
insect_anatomy,part,spiracle,lower,spiracle
insect_anatomy,part,spiracles,lower,spiracle
insect_anatomy,part,sternite,lower,sternite
insect_anatomy,part,sternites,lower,sternite
insect_anatomy,part,sternum,lower,
insect_anatomy,part,stigma,lower,stigma
insect_anatomy,part,stigmas,lower,stigma
insect_anatomy,part,stigmata,lower,stigma
insect_anatomy,part,synthorax,lower,
insect_anatomy,part,terminalia,lower,
insect_anatomy,part,terga,lower,tergite
insect_anatomy,part,tergite,lower,tergite
insect_anatomy,part,tergites,lower,tergite
insect_anatomy,part,thorax,lower,
insect_anatomy,part,tibia,lower,
insect_anatomy,part,vein,lower,vein
insect_anatomy,part,veins,lower,vein
insect_anatomy,part,vulva,lower,
insect_anatomy,part,wing,lower,wing
insect_anatomy,part,wings,lower,wing
insect_anatomy,part,wingtip,lower,wingtip
insect_anatomy,part,wingtips,lower,wingtip
insect_anatomy,part_loc,abdominal,lower,
insect_anatomy,part_loc,aboral,lower,
insect_anatomy,part_loc,accessory,lower,
insect_anatomy,part_loc,anal,lower,
insect_anatomy,part_loc,antehumeral,lower,
insect_anatomy,part_loc,antennal,lower,antenna
insect_anatomy,part_loc,anterior,lower,
insect_anatomy,part_loc,antero-lateral,lower,anterolateral
insect_anatomy,part_loc,anterolateral,lower,
insect_anatomy,part_loc,anteversion,lower,
insect_anatomy,part_loc,apex,lower,
insect_anatomy,part_loc,apical,lower,
insect_anatomy,part_loc,axial,lower,
insect_anatomy,part_loc,back,lower,
insect_anatomy,part_loc,basal,lower,
insect_anatomy,part_loc,base,lower,
insect_anatomy,part_loc,bilateral,lower,
insect_anatomy,part_loc,caudal,lower,
insect_anatomy,part_loc,central,lower,
insect_anatomy,part_loc,cephalo,lower,
insect_anatomy,part_loc,contra-lateral,lower,contralateral
insect_anatomy,part_loc,contralateral,lower,
insect_anatomy,part_loc,coronal,lower,
insect_anatomy,part_loc,costa,lower,
insect_anatomy,part_loc,costal,lower,
insect_anatomy,part_loc,cubital,lower,
insect_anatomy,part_loc,cubitus,lower,
insect_anatomy,part_loc,distal,lower,
insect_anatomy,part_loc,dorsal,lower,
insect_anatomy,part_loc,dorso-lateral,lower,dorsolateral
insect_anatomy,part_loc,dorsolateral,lower,
insect_anatomy,part_loc,femural,lower,
insect_anatomy,part_loc,front,lower,
insect_anatomy,part_loc,frontal,lower,
insect_anatomy,part_loc,genital,lower,
insect_anatomy,part_loc,genito-ventral,lower,genitoventral
insect_anatomy,part_loc,genitoventral,lower,
insect_anatomy,part_loc,gular,lower,
insect_anatomy,part_loc,horizontal,lower,
insect_anatomy,part_loc,humeral,lower,
insect_anatomy,part_loc,intercostal,lower,
insect_anatomy,part_loc,ipsilateral,lower,
insect_anatomy,part_loc,labial,lower,
insect_anatomy,part_loc,lateral,lower,
insect_anatomy,part_loc,latero-ventral,lower,lateroventral
insect_anatomy,part_loc,lateroventral,lower,
insect_anatomy,part_loc,lower,lower,
insect_anatomy,part_loc,luminal,lower,
insect_anatomy,part_loc,marginal,lower,
insect_anatomy,part_loc,media,lower,
insect_anatomy,part_loc,media,lower,
insect_anatomy,part_loc,medial,lower,
