label,pattern,replace
about,about,about
about,approx,about
about,approx.,about
about,approximate,about
about,ca,about
about,ca.,about
about,±,about
elev_label,alt,
elev_label,alt.,
elev_label,altitude,
elev_label,alto,
elev_label,alto.,
elev_label,elev,
elev_label,elev.,
elev_label,elevation,
lat_long_label,gps,
no_label,#,
no_label,No.,
no_label,Num.,
no_label,no,
no_label,no.,
no_label,num,
no_label,num.,
no_label,number,
uncertain_label,uncert,
uncertain_label,uncert.,
uncertain_label,uncertain,
uncertain_label,uncertainty,
