term_set,label,pattern,attr,replace,extra1,extra2
animals,life_stage,immature,lower,immature,,
animals,life_stage,immatures,lower,immature,,
animals,life_stage,imm.,lower,immature,,
animals,life_stage,n,lower,nymph,,
animals,life_stage,nymph,lower,nymph,,
animals,life_stage,nymphs,lower,nymph,,
animals,sex,♀,lower,female,,
animals,sex,♀♀,lower,female,,
animals,sex,♂,lower,male,,
animals,sex,♂♂,lower,male,,
animals,sex,both sexes,lower,,,
animals,sex,female,lower,female,,
animals,sex,females,lower,female,,
animals,sex,male,lower,male,,
animals,sex,males,lower,male,,
colors,color,amber,lower,,,
colors,color,black,lower,,,
colors,color,blackish,lower,black,,
colors,color,blue,lower,,,
colors,color,blueish,lower,blue,,
colors,color,bluish,lower,blue,,
colors,color,bronze,lower,bronze,,
colors,color,bronzy,lower,bronze,,
colors,color,brown,lower,,,
colors,color,brownish,lower,brown,,
colors,color,castaneous,lower,,,
colors,color,chartreuse,lower,,,
colors,color,cream,lower,white,,
colors,color,cream-yellow,lower,yellow,,
colors,color,creamy,lower,white,,
colors,color,crimson,lower,red,,
colors,color,dark-olivaceous,lower,green,,
colors,color,ebony,lower,black,,
colors,color,fawn,lower,,,
colors,color,fuscous,lower,,,
colors,color,fuscous-brown,lower,,,
colors,color,glaucous,lower,,,
colors,color,glaucous-pink,lower,pink,,
colors,color,gold,lower,,,
colors,color,golden,lower,,,
colors,color,golden-yellow,lower,yellow,,
colors,color,grass-green ,lower,green,,
colors,color,gray,lower,,,
colors,color,grayish,lower,gray,,
colors,color,green,lower,,,
colors,color,greenish,lower,green,,
colors,color,grey,lower,,,
colors,color,greyish,lower,gray,,
colors,color,ivory,lower,white,,
colors,color,lavendar,lower,purple,,
colors,color,lavender,lower,purple,,
colors,color,lemon,lower,yellow,,
colors,color,lilac,lower,purple,,
colors,color,lilac-pink,lower,,,
colors,color,livid-brown,lower,,,
colors,color,maroon,lower,red-brown,,
colors,color,olivaceous-brown,lower,,,
colors,color,olive,lower,green,,
colors,color,olive-green,lower,green,,
colors,color,orange,lower,,,
colors,color,orangish,lower,orange,,
