label,pattern,attr,replace
month,apr,lower,April
month,apr.,lower,April
month,april,lower,April
month,aug,lower,August
month,aug.,lower,August
month,august,lower,August
month,dec,lower,December
month,dec.,lower,December
month,december,lower,December
month,feb,lower,February
month,feb.,lower,February
month,february,lower,February
month,jan,lower,January
month,jan.,lower,January
month,january,lower,January
month,jul,lower,July
month,jul.,lower,July
month,july,lower,July
month,jun,lower,June
month,jun.,lower,June
month,june,lower,June
month,mar,lower,March
month,mar.,lower,March
month,march,lower,March
month,may,lower,May
month,nov,lower,November
month,nov.,lower,November
month,november,lower,November
month,oct,lower,October
month,oct.,lower,October
month,october,lower,October
month,sep,lower,September
month,sep.,lower,September
month,sept,lower,September
month,sept.,lower,September
month,september,lower,September
time_units,d,lower,
time_units,day,lower,
time_units,days,lower,
time_units,hour,lower,
time_units,hours,lower,
time_units,hr,lower,
time_units,hrs,lower,
time_units,min,lower,
time_units,minute,lower,
time_units,minutes,lower,
time_units,month,lower,
time_units,months,lower,
time_units,s,lower,
time_units,sec,lower,
time_units,second,lower,
time_units,seconds,lower,
time_units,year,lower,
time_units,years,lower,
time_units,yr,lower,
time_units,yrs,lower,
