label,pattern,replace,factor_cm
imperial_length,feet,ft,30.48
imperial_length,foot,ft,30.48
imperial_length,ft,ft,30.48
imperial_length,ft.,ft,30.48
imperial_length,in,in,2.54
imperial_length,in .,in,2.54
imperial_length,in.,in,2.54
imperial_length,inch,in,2.54
imperial_length,inches,in,2.54
imperial_length,mi,mi,160934.4
imperial_length,mi .,mi,160934.4
imperial_length,mi.,mi,160934.4
imperial_length,mile,mi,160934.4
imperial_length,miles,mi,160934.4
imperial_mass,ounce,oz,28.34952
imperial_mass,ounces,oz,28.34952
imperial_mass,oz,oz,28.34952
imperial_mass,ozs,oz,28.34952
imperial_mass,pound,lbs,453.5924
imperial_mass,pounds,lbs,453.5924
metric_length,centimeters,cm,1
metric_length,cm,cm,1
metric_length,cm .,cm,1
metric_length,cm.,cm,1
metric_length,decimeters,dm,10
metric_length,dm,dm,10
metric_length,dm .,dm,10
metric_length,dm.,dm,10
metric_length,kilometer,km,100000
metric_length,kilometers,km,100000
metric_length,km,km,100000
metric_length,km .,km,100000
metric_length,km.,km,100000
metric_length,m,m,100
metric_length,m .,m,100
metric_length,m.,m,100
metric_length,meter,m,100
metric_length,meters,m,100
metric_length,metre,m,100
metric_length,metres,m,100
metric_length,millimeters,mm,0.1
metric_length,mm,mm,0.1
metric_length,mm .,mm,0.1
metric_length,mm.,mm,0.1
metric_length,µm,µm,0.0001
metric_mass,g,g,1
metric_mass,gm,g,1
metric_mass,gms,g,1
metric_mass,grams,g,1
metric_mass,kg,kg,1000
metric_mass,kilograms,kg,1000
