term_set,label,pattern,attr,replace,inside,postal
us_locations,us_county,abbeville,lower,,SC,
us_locations,us_county,acadia,lower,,LA,
us_locations,us_county,accomack,lower,,VA,
us_locations,us_county,ada,lower,,ID,
us_locations,us_county,adair,lower,,IA KY MO OK,
us_locations,us_county,adams,lower,,CO ID IL IN IA MS NE ND OH PA WA WI,
us_locations,us_county,addison,lower,,VT,
us_locations,us_county,aiken,lower,,SC,
us_locations,us_county,aitkin,lower,,MN,
us_locations,us_county,alachua,lower,,FL,
us_locations,us_county,alamance,lower,,NC,
us_locations,us_county,alameda,lower,,CA,
us_locations,us_county,alamosa,lower,,CO,
us_locations,us_county,albany,lower,,NY WY,
us_locations,us_county,albemarle,lower,,VA,
us_locations,us_county,alcona,lower,,MI,
us_locations,us_county,alcorn,lower,,MS,
us_locations,us_county,aleutians east,lower,,AK,
us_locations,us_county,aleutians west,lower,,AK,
us_locations,us_county,alexander,lower,,IL NC,
us_locations,us_county,alexandria,lower,,VA,
us_locations,us_county,alfalfa,lower,,OK,
us_locations,us_county,alger,lower,,MI,
us_locations,us_county,allamakee,lower,,IA,
us_locations,us_county,allegan,lower,,MI,
us_locations,us_county,allegany,lower,,MD NY,
us_locations,us_county,alleghany,lower,,NC VA,
us_locations,us_county,allegheny,lower,,PA,
us_locations,us_county,allen,lower,,IN KS KY LA OH,
us_locations,us_county,allendale,lower,,SC,
us_locations,us_county,alpena,lower,,MI,
us_locations,us_county,alpine,lower,,CA,
us_locations,us_county,amador,lower,,CA,
us_locations,us_county,amelia,lower,,VA,
us_locations,us_county,amherst,lower,,VA,
us_locations,us_county,amite,lower,,MS,
us_locations,us_county,anchorage,lower,,AK,
us_locations,us_county,anderson,lower,,KS KY SC TN TX,
us_locations,us_county,andrew,lower,,MO,
us_locations,us_county,andrews,lower,,TX,
us_locations,us_county,androscoggin,lower,,ME,
us_locations,us_county,angelina,lower,,TX,
us_locations,us_county,anne arundel,lower,,MD,
us_locations,us_county,anoka,lower,,MN,
us_locations,us_county,anson,lower,,NC,
us_locations,us_county,antelope,lower,,NE,
us_locations,us_county,antrim,lower,,MI,
us_locations,us_county,apache,lower,,AZ,
us_locations,us_county,appanoose,lower,,IA,
us_locations,us_county,appling,lower,,GA,
us_locations,us_county,appomattox,lower,,VA,
us_locations,us_county,aransas,lower,,TX,
us_locations,us_county,arapahoe,lower,,CO,
us_locations,us_county,archer,lower,,TX,
us_locations,us_county,archuleta,lower,,CO,
us_locations,us_county,arenac,lower,,MI,
us_locations,us_county,arlington,lower,,VA,
us_locations,us_county,armstrong,lower,,PA TX,
us_locations,us_county,aroostook,lower,,ME,
us_locations,us_county,arthur,lower,,NE,
us_locations,us_county,ascension,lower,,LA,
us_locations,us_county,ashe,lower,,NC,
us_locations,us_county,ashland,lower,,OH WI,
us_locations,us_county,ashley,lower,,AR,
us_locations,us_county,ashtabula,lower,,OH,
us_locations,us_county,asotin,lower,,WA,
us_locations,us_county,assumption,lower,,LA,
us_locations,us_county,atascosa,lower,,TX,
us_locations,us_county,atchison,lower,,KS MO,
us_locations,us_county,athens,lower,,OH,
us_locations,us_county,atkinson,lower,,GA,
us_locations,us_county,atlantic,lower,,NJ,
us_locations,us_county,atoka,lower,,OK,
us_locations,us_county,attala,lower,,MS,
us_locations,us_county,audrain,lower,,MO,
us_locations,us_county,audubon,lower,,IA,
us_locations,us_county,auglaize,lower,,OH,
us_locations,us_county,augusta,lower,,VA,
us_locations,us_county,aurora,lower,,SD,
us_locations,us_county,austin,lower,,TX,
us_locations,us_county,autauga,lower,,AL,
us_locations,us_county,avery,lower,,NC,
us_locations,us_county,avoyelles,lower,,LA,
us_locations,us_county,baca,lower,,CO,
us_locations,us_county,bacon,lower,,GA,
us_locations,us_county,bailey,lower,,TX,
us_locations,us_county,baker,lower,,FL GA OR,
us_locations,us_county,baldwin,lower,,AL GA,
us_locations,us_county,ballard,lower,,KY,
us_locations,us_county,baltimore,lower,,MD,
us_locations,us_county,baltimore city,lower,,MD,
us_locations,us_county,bamberg,lower,,SC,
us_locations,us_county,bandera,lower,,TX,
us_locations,us_county,banks,lower,,GA,
us_locations,us_county,banner,lower,,NE,
us_locations,us_county,bannock,lower,,ID,
us_locations,us_county,baraga,lower,,MI,
us_locations,us_county,barber,lower,,KS,
us_locations,us_county,barbour,lower,,AL WV,
us_locations,us_county,barnes,lower,,ND,
us_locations,us_county,barnstable,lower,,MA,
us_locations,us_county,barnwell,lower,,SC,
us_locations,us_county,barren,lower,,KY,
us_locations,us_county,barron,lower,,WI,
us_locations,us_county,barrow,lower,,GA,
us_locations,us_county,barry,lower,,MI MO,
