label,pattern,replace,remove
color,amber,black,
color,black,black,
color,blackish,black,
color,blue,blue,
color,blueish,blue,
color,bluish,blue,
color,bronze,bronze,
color,bronzy,bronze,
color,brown,brown,
color,brownish,brown,
color,castaneous,brown,
color,chartreuse,green,
color,cinnamon-brown,brown,
color,cinnamon-colored,brown,
color,cinnamon-coloured,brown,
color,cream,white,
color,cream-yellow,yellow,
color,creamy,white,
color,crimson,red,
color,dark-olivaceous,green,
color,ebony,black,
color,fawn,brown,
color,fuscous,gray,
color,fuscous-brown,gray-brown,
color,glaucous,blue,
color,glaucous-pink,pink,
color,gold,yellow,
color,golden,yellow,
color,golden-yellow,yellow,
color,grass-green ,green,
color,gray,gray,
color,grayish,gray,
color,green,green,
color,greenish,green,
color,grey,gray,
color,greyish,gray,
color,ivory,white,
color,lavendar,purple,
color,lavender,purple,
color,lemon,yellow,
color,lilac,purple,
color,lilac-pink,pink,
color,livid-brown,brown,
color,maroon,red-brown,
color,nigrescent,black,
color,ocher,brown,
color,ochre,brown,
color,olivaceous,green,
color,olivaceous-brown,green-brown,
color,olive,green,
color,olive-green,green,
color,orange,orange,
color,orangish,orange,
color,pink,pink,
color,pinkish,pink,
color,purple,purple,
color,purpleish,purple,
color,purplish,purple,
color,purplishbrown,brown,
color,red,red,
color,reddish,red,
color,rose,pink,
color,rose-colored,pink,
color,rose-coloured,pink,
color,roseate,pink,
color,salmon,pink,
color,salmon-pink,orange-pink,
color,scarlet,red,
color,silver,silver,
color,silvery,silver,
color,sordid-grayish,gray,
color,stramineous,yellow,
color,straw-colored,yellow,
color,straw-coloured,yellow,
color,sulfur-yellow,yellow,
color,sulphur-yellow,yellow,
color,tan,brown,
color,turquoise,bluw,
color,uncolored,uncolored,
color,violet,purple,
color,violetish,purple,
color,white,white,
color,whitish,white,
color,yellow,yellow,
color,yellowish,yellow,
color_mod,backed,backed,
color_mod,blotch,blotch,
color_mod,blotched,blotched,
color_mod,blotches,blotches,
color_mod,bright,bright,1
color_mod,broadsaddle,broadsaddle,
color_mod,bull’s-eye,bulls-eye,
color_mod,bulls-eye,bulls-eye,
color_mod,dark,dark,1
color_mod,darker,darker,1
color_mod,dot,dot,
color_mod,dots,dots,
color_mod,dull,dull,1
color_mod,duller,duller,1
color_mod,dusky,dusky,1
color_mod,faint,faint,1
color_mod,faintly,faintly,1
color_mod,gloss,gloss,
color_mod,glossed,glossed,
color_mod,glossy,glossy,
color_mod,light,light,1
color_mod,lighter,lighter,1
color_mod,line,line,
color_mod,lined,lined,
color_mod,lines,lines,
color_mod,longitudinal,longitudinal,
color_mod,marked,marked,
color_mod,marking,marking,1
color_mod,markings,markings,1
color_mod,matte,matte,
color_mod,metallic,metallic,
color_mod,mottled,mottled,
color_mod,mottling,mottling,
color_mod,narrowsaddle,narrowsaddle,
color_mod,overtone,overtone,1
color_mod,overtones,overtones,1
color_mod,pale,pale,1
color_mod,paler,pale,1
color_mod,pallid,pale,1
color_mod,patch,patch,1
color_mod,patched,patched,1
color_mod,pattern,pattern,
color_mod,patterned,patterned,
color_mod,patterns,patterns,
color_mod,pruinescence,pruinescence,
color_mod,pruinose,pruinose,
color_mod,pruinosity,pruinosity,
color_mod,ring,ring,
color_mod,ringed,ringed,
color_mod,rings,rings,
color_mod,saddlebags,saddlebags,
color_mod,sordid,sordid,
color_mod,speckled,speckled,
color_mod,speckles,speckles,
color_mod,spot,spot,
color_mod,spots,spots,
color_mod,spotted,spotted,
color_mod,square,square,
color_mod,squares,squares,
color_mod,streaked,streaked,
color_mod,streaks,streaks,
color_mod,stripe,stripe,
color_mod,striped,striped,
color_mod,stripes,stripes,
color_mod,striping,striping,
color_mod,throated,throated,
color_mod,tinge,tinge,
color_mod,tinged,tinged,
color_mod,tinges,tinges,
color_mod,tint,tint,1
color_mod,tinted,tinted,1
color_mod,tipped,tipped,
color_mod,unmarked,unmarked,
color_mod,wash,wash,1
color_mod,washed,washed,1
color_missing,no,,
color_missing,without,,
color_missing,missing,,
color_missing,lack,,
color_missing,lacking,,
color_missing,except,,
color_missing,excepting,,
color_missing,not,,
color_missing,rarely,,
color_missing,obsolete,,
