label,pattern,replace
bad_prefix,botanical,
bad_prefix,national,
bad_suffix,road,
bad_suffix,sec,
bad_suffix,sec.,
bad_suffix,street,
bad_suffix,villa,
habitat,afrotropic,
habitat,alvar,
habitat,bog,
habitat,bogs,bog
habitat,bosque,
habitat,canebrake,
habitat,canebreak,canebrake
habitat,canyon,
habitat,canyons,canyon
habitat,chaparral,
habitat,coast,
habitat,desert,
habitat,deserts,desert
habitat,dry wash,
habitat,ecotone,
habitat,fell field,fellfield
habitat,fell fields,fellfield
habitat,fellfield,
habitat,fellfields,fellfield
habitat,fen,
habitat,fens,fen
habitat,field,
habitat,fields,field
habitat,floodplain,
habitat,floodplains,floodplain
habitat,forest,
habitat,forests,forest
habitat,glade,
habitat,glades,glade
habitat,grassland,
habitat,grasslands,grassland
habitat,heath,
habitat,heathland,
habitat,heathlands,heathland
habitat,hemiboreal,
habitat,herbfield,
habitat,herbfields,herbfield
habitat,lake,
habitat,lakes,lake
habitat,mangrove swamp,
habitat,mangrove swamps,mangrove swamp
habitat,marsh,
habitat,marshes,marsh
habitat,meadow,
habitat,meadows,meadow
habitat,mire,
habitat,mires,mire
habitat,moor,
habitat,moorland,
habitat,moors,moor
habitat,nearctic,
habitat,paleartic,
habitat,plain,
habitat,plains,plain
habitat,pond,
habitat,ponds,pond
habitat,pool,
habitat,pools,pool
habitat,rain forest,
habitat,rain forests,rain forest
habitat,river,
habitat,rivers,river
habitat,salt marsh,
habitat,salt marshes,salt marsh
habitat,savanna,
habitat,savannas,savanna
habitat,scrub,
habitat,scrubland,
habitat,scrublands,scrubland
habitat,shrub swamp,
habitat,shrub swamps,shrub swamp
habitat,shrubland,
habitat,shrublands,shrubland
habitat,steppe,
habitat,steppes,steppe
habitat,stream,
habitat,streams,stream
habitat,swamp,
habitat,swamps,swamp
habitat,taiga,
habitat,timberline,
habitat,tree line,
habitat,tugay,
habitat,tundra,
habitat,urban,
habitat,wetland,
habitat,wetlands,wetland
habitat,wildwood,
habitat,wildwoods,
habitat,woodland,
habitat,woodlands,woodland
habitat,woods,
habitat_prefix,afro-alpine,
habitat_prefix,alpine,
habitat_prefix,altimontane,
habitat_prefix,arid,
habitat_prefix,benthic,
habitat_prefix,boggy,
habitat_prefix,boreal,
habitat_prefix,broadleaf,
habitat_prefix,calcareous,
habitat_prefix,cloud,
habitat_prefix,coniferous,
habitat_prefix,costal,
habitat_prefix,deciduous,
habitat_prefix,dry,
habitat_prefix,elfin,
habitat_prefix,ephemeral,
habitat_prefix,equitorial,
habitat_prefix,eulittoral,
habitat_prefix,flooded,
habitat_prefix,fog,
habitat_prefix,foothill,
habitat_prefix,fresh water,
habitat_prefix,fresh-water,
habitat_prefix,giant,
habitat_prefix,intertidal,
habitat_prefix,litoral,littoral
habitat_prefix,littoral,
habitat_prefix,lowland,
habitat_prefix,mediolittoral,
habitat_prefix,mediterranean,
habitat_prefix,mid-Montane,
habitat_prefix,midlittoral,
habitat_prefix,montane,
habitat_prefix,nearartic,
habitat_prefix,nearshore,
habitat_prefix,nemoral,
habitat_prefix,neotropical,
habitat_prefix,neritic,
habitat_prefix,nival,
habitat_prefix,peat,
habitat_prefix,pelagic,
habitat_prefix,planar,
habitat_prefix,polar,
habitat_prefix,riparian,
habitat_prefix,rocky,
habitat_prefix,seasonal,
habitat_prefix,semi-arid,
habitat_prefix,semideciduous,
habitat_prefix,sonoran,
habitat_prefix,subalpine,
habitat_prefix,subartic,
habitat_prefix,sublitoral,sublittoral
habitat_prefix,sublittoral,
habitat_prefix,submontane,
habitat_prefix,subpoar,
habitat_prefix,subtropical,
habitat_prefix,supralittoral,
habitat_prefix,supratidal,
habitat_prefix,temperate,
habitat_prefix,terrestrial,
habitat_prefix,tropical,
habitat_prefix,upland,
habitat_prefix,upland,
habitat_prefix,urban,
habitat_prefix,vernal,
habitat_prefix,wet,
habitat_prefix,xeric,
habitat_suffix,ecosystem,
habitat_suffix,ecosystems,ecosystem
habitat_suffix,landscape,
habitat_suffix,landscapes,landscape
habitat_suffix,zone,
habitat_suffix,zones,zone
