label,pattern,replace,factor_cm
time_units,d.,text,days
time_units,d,text,days
time_units,D.,text,days
time_units,D,text,days
time_units,D.,text,days
time_units,D,text,days
time_units,day,lower,days
time_units,days,lower,days
time_units,hour,lower,hr.
time_units,hours,lower,hr.
time_units,hr.,text,hr.
time_units,hr,text,hr.
time_units,Hr.,text,hr.
time_units,Hr,text,hr.
time_units,HR.,text,hr.
time_units,HR,text,hr.
time_units,hrs.,text,hr.
time_units,hrs,text,hr.
time_units,Hrs.,text,hr.
time_units,Hrs,text,hr.
time_units,HRS.,text,hr.
time_units,HRS,text,hr.
time_units,min.,text,min.
time_units,min,text,min.
time_units,Min.,text,min.
time_units,Min,text,min.
time_units,MIN.,text,min.
time_units,MIN,text,min.
time_units,minute,lower,min.
time_units,minutes,lower,min.
time_units,month,lower,mon.
time_units,months,lower,mon.
time_units,s.,text,sec.
time_units,s,text,sec.
time_units,S.,text,sec.
time_units,S,text,sec.
time_units,S.,text,sec.
time_units,S,text,sec.
time_units,sec.,text,sec.
time_units,sec,text,sec.
time_units,Sec.,text,sec.
time_units,Sec,text,sec.
time_units,SEC.,text,sec.
time_units,SEC,text,sec.
time_units,second,lower,sec.
time_units,seconds,lower,sec.
time_units,year,lower,yr.
time_units,years,lower,yr.
time_units,yr.,text,yr.
time_units,yr,text,yr.
time_units,Yr.,text,yr.
time_units,Yr,text,yr.
time_units,YR.,text,yr.
time_units,YR,text,yr.
time_units,yrs.,text,yr.
time_units,yrs,text,yr.
time_units,Yrs.,text,yr.
time_units,Yrs,text,yr.
time_units,YRS.,text,yr.
time_units,YRS,text,yr.
