label,pattern,attr,replace
part,abdomen,lower,
part,abdominal,lower,
part,antenna,lower,
part,antennae,lower,antenna
part,antennal,lower,antenna
part,anus,lower,
part,apodema,lower,apodeme
part,apodeme,lower,
part,body,lower,
part,carina,lower,
part,cerci,lower,cercus
part,cercus,lower,cercus
part,cross-vein,lower,crossvein
part,cross-veins,lower,crossvein
part,crossvein,lower,crossvein
part,crossveins,lower,crossvein
part,dorsal line,lower,
part,dorsal lines,lower,
part,eye,lower,eye
part,eyes,lower,eye
part,face,lower,
part,femur,lower,
part,femora,lower,femur
part,femurs,lower,femur
part,fimbriae,lower,
part,foreleg,lower,
part,forelegs,lower,foreleg
part,forewing,lower,forewing
part,forewings,lower,forewing
part,frons,lower,
part,genital,lower,
part,genitalia,lower,genital
part,genitals,lower,genital
part,gonopod,lower,
part,gonopods,lower,gonopod
part,head,lower,
part,hindleg,lower,
part,hindlegs,lower,hindleg
part,hindwing,lower,hindwing
part,hindwings,lower,hindwing
part,horn,lower,
part,horns,lower,horn
part,leg,lower,
part,legs,lower,leg
part,lower side,lower,
part,lower sides,lower,
part,mandible,lower,mandible
part,mandibles,lower,mandible
part,margins,lower,
part,mesothorax,lower,
part,metapodal,lower,
part,metathorax,lower,
part,ocelli,lower,ocellus
part,ocellus,lower,ocellus
part,ommatidia,lower,ommatidium
part,ommatidium,lower,ommatidium
part,paramere,lower,paramere
part,parameres,lower,paramere
part,plate,lower,plate
part,plates,lower,plate
part,prothorax,lower,
part,pterostigma,lower,stigma
part,pterostigmas,lower,stigma
part,pterostigmata,lower,stigma
part,segment,lower,segment
part,segments,lower,segment
part,spiracle,lower,
part,spiracles,lower,spiracle
part,sternal,lower,
part,sternum,lower,
part,stigma,lower,stigma
part,stigmas,lower,stigma
part,stigmata,lower,stigma
part,suture,lower,
part,sutures,lower,suture
part,synthorax,lower,
part,thoracic,lower,
part,thorax,lower,
part,tibia,lower,
part,transverse line,lower,
part,transverse lines,lower,
part,upper side,lower,
part,upper sides,lower,
part,vein,lower,vein
part,veins,lower,vein
part,ventral line,lower,
part,ventral lines,lower,
part,vulva,lower,
part,wing,lower,wing
part,wings,lower,wing
part,wingtip,lower,wingtip
part,wingtips,lower,wingtip
part_loc,accessory,lower,
part_loc,anal,lower,
part_loc,antehumeral,lower,
part_loc,anterior,lower,
part_loc,antero-lateral,lower,
part_loc,apex,lower,
part_loc,apical,lower,
part_loc,back,lower,
part_loc,basal,lower,
part_loc,central,lower,
part_loc,costa,lower,
part_loc,costal,lower,
part_loc,cubital,lower,
part_loc,cubitus,lower,
part_loc,dorsal,lower,
part_loc,dorsolateral,lower,
part_loc,front,lower,
part_loc,genito-ventral,lower,
part_loc,humeral,lower,
part_loc,intercostal,lower,
part_loc,lateral,lower,
part_loc,lower,lower,
part_loc,margin,lower,
part_loc,marginal,lower,
part_loc,media,lower,
part_loc,media,lower,
part_loc,mediolateral,lower,
part_loc,mesostigmal,lower,
part_loc,mesothoracic,lower,
part_loc,middorsal,lower,
part_loc,oral,lower,
part_loc,paratergal,lower,
part_loc,postantennal,lower,
part_loc,posterior,lower,
part_loc,postero-medial,lower,
part_loc,postocular ,lower,
part_loc,preantennal,lower,
part_loc,principal,lower,
part_loc,rear,lower,
part_loc,sectoral,lower,
part_loc,side,lower,
part_loc,sides,lower,side
part_loc,sternal,lower,
part_loc,subapical,lower,
part_loc,subcosta,lower,
part_loc,subgenital,lower,
part_loc,supra-antennal,lower,
part_loc,sutural,lower,
part_loc,tailed,lower,
part_loc,tergal,lower,
part_loc,terminal,lower,
part_loc,underside,lower,
part_loc,upper,lower,
part_loc,ventral,lower,
part_loc,vulvar,lower,
