label,pattern,attr,replace,pos
ordinal,first,lower,,adj
ordinal,second,lower,,adj
ordinal,third,lower,,adj
ordinal,fourth,lower,,adj
ordinal,fifth,lower,,adj
ordinal,sixth,lower,,adj
ordinal,seventh,lower,,adj
ordinal,eighth,lower,,adj
ordinal,ninth,lower,,adj
ordinal,tenth,lower,,adj
ordinal,eleventh,lower,,adj
ordinal,twelfth,lower,,adj
ordinal,1st,lower,,adj
ordinal,2nd,lower,,adj
ordinal,3rd,lower,,adj
ordinal,4th,lower,,adj
ordinal,5th,lower,,adj
ordinal,6th,lower,,adj
ordinal,7th,lower,,adj
ordinal,8th,lower,,adj
ordinal,9th,lower,,adj
ordinal,10th,lower,,adj
ordinal,11th,lower,,adj
ordinal,12th,lower,,adj
word_number,zero,lower,0,noun
word_number,one,lower,1,noun
word_number,two,lower,2,noun
word_number,three,lower,3,noun
word_number,four,lower,4,noun
word_number,five,lower,5,noun
word_number,six,lower,6,noun
word_number,seven,lower,7,noun
word_number,eight,lower,8,noun
word_number,nine,lower,9,noun
word_number,ten,lower,10,noun
word_number,11,lower,11,noun
word_number,twelve,lower,12,noun
numeric_units,hundred,lower,100,adj
numeric_units,hundreds,lower,100,adj
numeric_units,thousand,lower,1000,adj
numeric_units,thousands,lower,1000,adj
