label,pattern,attr,replace,hyphenate
about,about,lower,about,
about,approx,lower,about,
about,approx.,lower,about,
about,approximate,lower,about,
about,ca,lower,about,
about,ca.,lower,about,
angular,angular,lower,,
angular,angulate,lower,,
count_suffix,-callose,lower,callose,
count_suffix,-carpellate,lower,,
count_suffix,-columned,lower,colum,
count_suffix,-flowered,lower,flowered,
count_suffix,-foliolate,lower,lobe,
count_suffix,-horned,lower,horn,
count_suffix,-incised,lower,,
count_suffix,-jointed,lower,joint,
count_suffix,-lobed,lower,lobe,
count_suffix,-locular,lower,locular,
count_suffix,-paired,lower,pair,
count_suffix,-ranked,lower,,
count_suffix,-rayed,lower,ray,
count_suffix,-ribbed,lower,rib,
count_suffix,-toothed,lower,tooth,
count_suffix,-veined,lower,vein,
count_word,bilobate,lower,2,bi-lo-b-ate
count_word,bilobed,lower,2,bi-lob-ed
count_word,absent,lower,0,
count_word,achlamydeous,lower,0,
count_word,no lobes,lower,0,
count_word,trilobed,lower,3,
count_word,unlobed,lower,0,
cross,x,lower,,
cross,×,lower,,
dim,d.b.h.,lower,dbh,
dim,dbh,lower,dbh,
dim,dia,lower,diameter,
dim,diam,lower,diameter,
dim,diameter,lower,diameter,
dim,diameter at breast height,lower,dbh,
dim,diameter breast height,lower,dbh,
dim,height,lower,height,
dim,high,lower,height,
dim,in dia,lower,diameter,
dim,in diam,lower,diameter,
dim,in diameter,lower,diameter,
dim,in height,lower,height,
dim,length,lower,length,
dim,long,lower,length,
dim,radius,lower,radius,
dim,tall,lower,height,
dim,thick,lower,thickness,
dim,thickness,lower,thickness,
dim,wide,lower,width,
dim,width,lower,width,
duration,acme,lower,,
duration,deciduous,lower,,
duration,evergreen,lower,,
duration,fugacious,lower,,
duration,marcescent,lower,,
duration,persistent,lower,,
duration,semi-deciduous,lower,,
duration,semi-evergreen,lower,,
duration,subpersistent,lower,,
floral_location,epigynous,lower,inferior,
floral_location,half-inferior,lower,inferior,
floral_location,hypogynous,lower,superior,
floral_location,inferior,lower,inferior,
floral_location,perigynous,lower,perigynous,
floral_location,superior,lower,superior,
habit,acaulescent,lower,acaulescent,
habit,acid plant,lower,acid plant,
habit,arborescent,lower,arborescent,
habit,assurgent,lower,assurgent,
habit,branching,lower,branching,
habit,caducous,lower,caducous,
habit,caespitose,lower,caespitose,
habit,caulescent,lower,caulescent,
habit,creeping,lower,creeping,
habit,decumbent,lower,,
habit,deflexed,lower,,
habit,determinate growth,lower,,
habit,dimorphic,lower,,
habit,ecad,lower,,
habit,ectogenesis,lower,,
habit,ectoparasite,lower,,
habit,epigeal,lower,,
habit,epigean,lower,,
habit,epigeic,lower,,
habit,epigeous,lower,,
habit,equinoctial,lower,,
habit,eupotamous,lower,,
habit,euryhaline,lower,,
habit,eurythermous,lower,,
habit,exclusive species,lower,,
habit,exotic,lower,,
habit,exsiccatus,lower,,
habit,indeterminate growth,lower,,
habit,lax,lower,,
habit,liana,lower,liana,
habit,parasitic,lower,,
habit,precocious,lower,,
habit,procumbent,lower,,
habit,prostrate,lower,,
habit,repent,lower,,
habit,semi-erect,lower,,
habit,shrub,lower,shrub,
habit,shrubby,lower,shrub,
habit,shrubs,lower,shrub,
habit,subacaulescent,lower,acaulescent,
habit,subcaulescent,lower,acaulescent,
habit,subshrub,lower,shrub,
habit,subshrubby,lower,shrub,
habit,subshrubs,lower,shrub,
habit,suffrutescent,lower,,
habit,tree,lower,tree,
habit,trees,lower,tree,
habit,upright,lower,,
habit,vine,lower,vine,
habit,vines,lower,vine,
habit,virgate,lower,,
habit_shape,caespitose,lower,cespitose,
habit_shape,cespitose,lower,cespitose,
habit_shape,frutescent,lower,frutescent,
habitat,epilithic,lower,,
habitat,epiphloedal,lower,,
habitat,epiphloedic,lower,epiphloedic,
habitat,epiphyllous,lower,,
habitat,epiphyte,lower,epiphytic,
habitat,epiphytic,lower,epiphytic,
habitat,lithophyte,lower,lithophytic,
habitat,lithophytic,lower,lithophytic,
habitat,parasite,lower,parasitic,
habitat,parasitic,lower,parasitic,
location,abaxial,lower,,
location,adaxial,lower,,
location,adventitious,lower,,
location,basal,lower,,
location,cauline,lower,,
location,dorsal,lower,,
location,lateral,lower,,
location,radical,lower,,
location,terminal,lower,,
margin_follower,constricted,lower,,
margin_follower,crisped,lower,,
margin_follower,margined,lower,,
margin_leader,coarsely,lower,,
margin_leader,remotely,lower,,
margin_leader,thickened,lower,,
margin_shape,ciliate,lower,,
margin_shape,corrugated,lower,,
margin_shape,crenate,lower,,
margin_shape,crenulate,lower,,
margin_shape,dentate,lower,,
margin_shape,denticulate,lower,,
margin_shape,doubly serrate,lower,,
margin_shape,entire,lower,,
margin_shape,involute,lower,,
margin_shape,lobate,lower,,
margin_shape,lobulate,lower,,
margin_shape,moniliform,lower,,
margin_shape,not bordered,lower,,
margin_shape,pungent,lower,,
margin_shape,scalloped,lower,,
