label,pattern,attr,replace,pos
month,Apr,lower,April,noun
month,Apr.,text,April,noun
month,April,text,April,noun
month,Aug,text,August,noun
month,Aug.,text,August,noun
month,August,text,August,noun
month,Dec,text,December,noun
month,Dec.,text,December,noun
month,December,text,December,noun
month,Feb,text,February,noun
month,Feb.,text,February,noun
month,February,text,February,noun
month,Jan,text,January,noun
month,Jan.,text,January,noun
month,January,text,January,noun
month,Jul,text,July,noun
month,Jul.,text,July,noun
month,July,text,July,noun
month,Jun,text,June,noun
month,Jun.,text,June,noun
month,June,text,June,noun
month,Mar,text,March,noun
month,Mar.,text,March,noun
month,March,text,March,noun
month,May,text,May,noun
month,Nov,text,November,noun
month,Nov.,text,November,noun
month,November,text,November,noun
month,Oct,text,October,noun
month,Oct.,text,October,noun
month,October,text,October,noun
month,Sep,text,September,noun
month,Sep.,text,September,noun
month,Sept,text,September,noun
month,Sept.,text,September,noun
month,September,text,September,noun
time_units,d,lower,,noun
time_units,day,lower,,noun
time_units,days,lower,,noun
time_units,hour,lower,,noun
time_units,hours,lower,,noun
time_units,hr,lower,,noun
time_units,hrs,lower,,noun
time_units,min,lower,,noun
time_units,minute,lower,,noun
time_units,minutes,lower,,noun
time_units,month,lower,,noun
time_units,months,lower,,noun
time_units,s,lower,,noun
time_units,sec,lower,,noun
time_units,second,lower,,noun
time_units,seconds,lower,,noun
time_units,year,lower,,noun
time_units,years,lower,,noun
time_units,yr,lower,,noun
time_units,yrs,lower,,noun
