label,pattern,attr,replace
month,Apr,lower,April
month,Apr.,text,April
month,April,text,April
month,Aug,text,August
month,Aug.,text,August
month,August,text,August
month,Dec,text,December
month,Dec.,text,December
month,December,text,December
month,Feb,text,February
month,Feb.,text,February
month,February,text,February
month,Jan,text,January
month,Jan.,text,January
month,January,text,January
month,Jul,text,July
month,Jul.,text,July
month,July,text,July
month,Jun,text,June
month,Jun.,text,June
month,June,text,June
month,Mar,text,March
month,Mar.,text,March
month,March,text,March
month,May,text,May
month,Nov,text,November
month,Nov.,text,November
month,November,text,November
month,Oct,text,October
month,Oct.,text,October
month,October,text,October
month,Sep,text,September
month,Sep.,text,September
month,Sept,text,September
month,Sept.,text,September
month,September,text,September
