label,pattern,attr,replace,
us_state,Alabama,lower,AL,
us_state,Alaska,lower,AK,
us_state,American Samoa,lower,AS,
us_state,Arizona,lower,AZ,
us_state,Arkansas,lower,AR,
us_state,California,lower,CA,
us_state,Colorado,lower,CO,
us_state,Connecticut,lower,CT,
us_state,Delaware,lower,DE,
us_state,District of Columbia,lower,DC,
us_state,Florida,lower,FL,
us_state,Georgia,lower,GA,
us_state,Guam,lower,GU,
us_state,Hawaii,lower,HI,
us_state,Idaho,lower,ID,
us_state,Illinois,lower,IL,
us_state,Indiana,lower,IN,
us_state,Iowa,lower,IA,
us_state,Kansas,lower,KS,
us_state,Kentucky,lower,KY,
us_state,Louisiana,lower,LA,
us_state,Maine,lower,ME,
us_state,Maryland,lower,MD,
us_state,Massachusetts,lower,MA,
us_state,Michigan,lower,MI,
us_state,Minnesota,lower,MN,
us_state,Minor Outlying Islands,lower,UM,
us_state,Mississippi,lower,MS,
us_state,Missouri,lower,MO,
us_state,Montana,lower,MT,
us_state,Nebraska,lower,NE,
us_state,Nevada,lower,NV,
us_state,New Hampshire,lower,NH,
us_state,New Jersey,lower,NJ,
us_state,New Mexico,lower,NM,
us_state,New York,lower,NY,
us_state,North Carolina,lower,NC,
us_state,North Dakota,lower,ND,
us_state,Northern Mariana Islands,lower,MP,
us_state,Ohio,lower,OH,
us_state,Oklahoma,lower,OK,
us_state,Oregon,lower,OR,
us_state,Pennsylvania,lower,PA,
us_state,Puerto Rico,lower,PR,
us_state,Rhode Island,lower,RI,
us_state,South Carolina,lower,SC,
us_state,South Dakota,lower,SD,
us_state,Tennessee,lower,TN,
us_state,Texas,lower,TX,
us_state,Utah,lower,UT,
us_state,Vermont,lower,VT,
us_state,Virgin Islands,lower,VI,
us_state,Virginia,lower,VA,
us_state,Washington,lower,WA,
us_state,West Virginia,lower,WV,
us_state,Wisconsin,lower,WI,
us_state,Wyoming,lower,WY,
us_state,AL,lower,,
us_state,AK,lower,,
us_state,AS,lower,,
us_state,AZ,lower,,
us_state,AR,lower,,
us_state,CA,lower,,
us_state,CO,lower,,
us_state,CT,lower,,
us_state,DE,lower,,
us_state,DC,lower,,
us_state,FL,lower,,
us_state,GA,lower,,
us_state,GU,lower,,
us_state,HI,lower,,
us_state,ID,lower,,
us_state,IL,lower,,
us_state,IN,lower,,
us_state,IA,lower,,
us_state,KS,lower,,
us_state,KY,lower,,
us_state,LA,lower,,
us_state,ME,lower,,
us_state,MD,lower,,
us_state,MA,lower,,
us_state,MI,lower,,
us_state,MN,lower,,
us_state,UM,lower,,
us_state,MS,lower,,
us_state,MO,lower,,
us_state,MT,lower,,
us_state,NE,lower,,
us_state,NV,lower,,
us_state,NH,lower,,
us_state,NJ,lower,,
us_state,NM,lower,,
us_state,NY,lower,,
us_state,NC,lower,,
us_state,ND,lower,,
us_state,MP,lower,,
us_state,OH,lower,,
us_state,OK,lower,,
us_state,OR,lower,,
us_state,PA,lower,,
us_state,PR,lower,,
us_state,RI,lower,,
us_state,SC,lower,,
us_state,SD,lower,,
us_state,TN,lower,,
us_state,TX,lower,,
us_state,UT,lower,,
us_state,VT,lower,,
us_state,VI,lower,,
us_state,VA,lower,,
us_state,WA,lower,,
us_state,WV,lower,,
us_state,WI,lower,,
us_state,WY,lower,,
us_county,Abbeville,lower,,SC
us_county,Acadia,lower,,LA
us_county,Accomack,lower,,VA
us_county,Ada,lower,,ID
us_county,Adair,lower,,IA KY MO OK
us_county,Adams,lower,,CO ID IL IN IA MS NE ND OH PA WA WI
us_county,Addison,lower,,VT
us_county,Aiken,lower,,SC
us_county,Aitkin,lower,,MN
us_county,Alachua,lower,,FL
us_county,Alamance,lower,,NC
us_county,Alameda,lower,,CA
us_county,Alamosa,lower,,CO
us_county,Albany,lower,,NY WY
us_county,Albemarle,lower,,VA
us_county,Alcona,lower,,MI
us_county,Alcorn,lower,,MS
us_county,Aleutians East,lower,,AK
us_county,Aleutians West,lower,,AK
us_county,Alexander,lower,,IL NC
us_county,Alexandria,lower,,VA
us_county,Alfalfa,lower,,OK
us_county,Alger,lower,,MI
us_county,Allamakee,lower,,IA
us_county,Allegan,lower,,MI
us_county,Allegany,lower,,MD NY
us_county,Alleghany,lower,,NC VA
us_county,Allegheny,lower,,PA
us_county,Allen,lower,,IN KS KY LA OH
us_county,Allendale,lower,,SC
us_county,Alpena,lower,,MI
us_county,Alpine,lower,,CA
us_county,Amador,lower,,CA
us_county,Amelia,lower,,VA
us_county,Amherst,lower,,VA
us_county,Amite,lower,,MS
us_county,Anchorage,lower,,AK
us_county,Anderson,lower,,KS KY SC TN TX
us_county,Andrew,lower,,MO
us_county,Andrews,lower,,TX
us_county,Androscoggin,lower,,ME
us_county,Angelina,lower,,TX
us_county,Anne Arundel,lower,,MD
us_county,Anoka,lower,,MN
us_county,Anson,lower,,NC
us_county,Antelope,lower,,NE
us_county,Antrim,lower,,MI
us_county,Apache,lower,,AZ
us_county,Appanoose,lower,,IA
us_county,Appling,lower,,GA
us_county,Appomattox,lower,,VA
us_county,Aransas,lower,,TX
us_county,Arapahoe,lower,,CO
us_county,Archer,lower,,TX
us_county,Archuleta,lower,,CO
us_county,Arenac,lower,,MI
us_county,Arkansas,lower,,AR
us_county,Arlington,lower,,VA
us_county,Armstrong,lower,,PA TX
us_county,Aroostook,lower,,ME
us_county,Arthur,lower,,NE
us_county,Ascension,lower,,LA
us_county,Ashe,lower,,NC
us_county,Ashland,lower,,OH WI
us_county,Ashley,lower,,AR
us_county,Ashtabula,lower,,OH
us_county,Asotin,lower,,WA
us_county,Assumption,lower,,LA
us_county,Atascosa,lower,,TX
us_county,Atchison,lower,,KS MO
us_county,Athens,lower,,OH
us_county,Atkinson,lower,,GA
us_county,Atlantic,lower,,NJ
us_county,Atoka,lower,,OK
us_county,Attala,lower,,MS
us_county,Audrain,lower,,MO
us_county,Audubon,lower,,IA
us_county,Auglaize,lower,,OH
us_county,Augusta,lower,,VA
us_county,Aurora,lower,,SD
us_county,Austin,lower,,TX
us_county,Autauga,lower,,AL
us_county,Avery,lower,,NC
us_county,Avoyelles,lower,,LA
us_county,Baca,lower,,CO
us_county,Bacon,lower,,GA
us_county,Bailey,lower,,TX
us_county,Baker,lower,,FL GA OR
us_county,Baldwin,lower,,AL GA
us_county,Ballard,lower,,KY
us_county,Baltimore,lower,,MD
us_county,Baltimore city,lower,,MD
us_county,Bamberg,lower,,SC
us_county,Bandera,lower,,TX
us_county,Banks,lower,,GA
us_county,Banner,lower,,NE
us_county,Bannock,lower,,ID
us_county,Baraga,lower,,MI
us_county,Barber,lower,,KS
us_county,Barbour,lower,,AL WV
us_county,Barnes,lower,,ND
us_county,Barnstable,lower,,MA
us_county,Barnwell,lower,,SC
us_county,Barren,lower,,KY
us_county,Barron,lower,,WI
us_county,Barrow,lower,,GA
us_county,Barry,lower,,MI MO
us_county,Bartholomew,lower,,IN
us_county,Barton,lower,,KS MO
us_county,Bartow,lower,,GA
us_county,Bastrop,lower,,TX
us_county,Bates,lower,,MO
us_county,Bath,lower,,KY VA
us_county,Baxter,lower,,AR
us_county,Bay,lower,,FL MI
us_county,Bayfield,lower,,WI
us_county,Baylor,lower,,TX
us_county,Beadle,lower,,SD
us_county,Bear Lake,lower,,ID
us_county,Beaufort,lower,,NC SC
us_county,Beauregard,lower,,LA
us_county,Beaver,lower,,OK PA UT
us_county,Beaverhead,lower,,MT
us_county,Becker,lower,,MN
us_county,Beckham,lower,,OK
us_county,Bedford,lower,,PA TN VA VA
us_county,Bee,lower,,TX
us_county,Belknap,lower,,NH
us_county,Bell,lower,,KY TX
us_county,Belmont,lower,,OH
us_county,Beltrami,lower,,MN
us_county,Ben Hill,lower,,GA
us_county,Benewah,lower,,ID
us_county,Bennett,lower,,SD
us_county,Bennington,lower,,VT
us_county,Benson,lower,,ND
us_county,Bent,lower,,CO
us_county,Benton,lower,,AR IN IA MN MS MO OR TN WA
us_county,Benzie,lower,,MI
us_county,Bergen,lower,,NJ
us_county,Berkeley,lower,,SC WV
us_county,Berks,lower,,PA
us_county,Berkshire,lower,,MA
us_county,Bernalillo,lower,,NM
us_county,Berrien,lower,,GA MI
us_county,Bertie,lower,,NC
us_county,Bethel,lower,,AK
us_county,Bexar,lower,,TX
us_county,Bibb,lower,,AL GA
us_county,Bienville,lower,,LA
us_county,Big Horn,lower,,MT WY
us_county,Big Stone,lower,,MN
us_county,Billings,lower,,ND
us_county,Bingham,lower,,ID
us_county,Black Hawk,lower,,IA
us_county,Blackford,lower,,IN
us_county,Bladen,lower,,NC
us_county,Blaine,lower,,ID MT NE OK
us_county,Blair,lower,,PA
us_county,Blanco,lower,,TX
us_county,Bland,lower,,VA
us_county,Bleckley,lower,,GA
us_county,Bledsoe,lower,,TN
us_county,Blount,lower,,AL TN
us_county,Blue Earth,lower,,MN
us_county,Boise,lower,,ID
us_county,Bolivar,lower,,MS
us_county,Bollinger,lower,,MO
us_county,Bon Homme,lower,,SD
us_county,Bond,lower,,IL
us_county,Bonner,lower,,ID
us_county,Bonneville,lower,,ID
us_county,Boone,lower,,AR IL IN IA KY MO NE WV
us_county,Borden,lower,,TX
us_county,Bosque,lower,,TX
